Time	ID	Ax_cm/s2	Ay_cm/s2	Az_cm/s2	Q0	Q1	Q2	Q3
20:29:08.748	7	-194.17167	928.689755	203.97832	0.7565	0.64316	0.09915	-0.0643
20:29:08.750	16	335.38743	-845.33323	-357.942725	-0.19568	0.53308	-0.63504	0.52356
20:29:08.808	7	-198.09433	931.63175	203.97832	0.7565	0.64316	0.09915	-0.0643
20:29:08.842	16	295.180165	-840.429905	-318.716125	-0.19568	0.53308	-0.63504	0.52356
20:29:08.930	7	-197.113665	927.70909	220.649625	0.7598	0.64023	0.10382	-0.04388
20:29:08.931	16	279.489525	-861.02387	-316.754795	-0.19568	0.53308	-0.63504	0.52356
20:29:09.022	7	-200.05566	935.55441	204.958985	0.7598	0.64023	0.10382	-0.04388
20:29:09.052	16	279.489525	-848.275225	-319.69679	-0.11884	0.41516	-0.70343	0.56445
20:29:09.110	7	-188.28768	932.612415	212.804305	0.7598	0.64023	0.10382	-0.04388
20:29:09.142	16	287.334845	-852.197885	-336.368095	-0.11884	0.41516	-0.70343	0.56445
20:29:09.230	7	-191.229675	932.612415	208.881645	0.76147	0.63791	0.10947	-0.03342
20:29:09.232	16	285.373515	-857.10121	-333.4261	-0.11884	0.41516	-0.70343	0.56445
20:29:09.320	7	-186.32635	935.55441	211.82364	0.76147	0.63791	0.10947	-0.03342
20:29:09.352	16	311.85147	-858.081875	-326.561445	-0.09839	0.38531	-0.72018	0.56839
20:29:09.440	7	-191.229675	938.496405	207.90098	0.76147	0.63791	0.10947	-0.03342
20:29:09.442	16	361.865385	-852.197885	-334.406765	-0.09839	0.38531	-0.72018	0.56839
20:29:09.531	7	-198.09433	938.496405	208.881645	0.76157	0.63712	0.11612	-0.022
20:29:09.533	16	377.556025	-856.120545	-326.561445	-0.09839	0.38531	-0.72018	0.56839
20:29:09.636	7	-196.133	933.59308	213.78497	0.76157	0.63712	0.11612	-0.022
20:29:09.652	16	434.434595	-834.545915	-309.89014	-0.09146	0.3815	-0.71689	0.57623
20:29:09.712	7	-162.79039	962.032365	192.21034	0.76157	0.63712	0.11612	-0.022
20:29:09.772	16	408.937305	-851.21722	-305.96748	-0.09146	0.3815	-0.71689	0.57623
20:29:09.829	7	-152.003075	991.452315	106.892485	0.76227	0.63605	0.11832	-0.01678
20:29:09.830	16	497.197155	-800.22264	-340.290755	-0.09146	0.3815	-0.71689	0.57623
20:29:09.920	7	-202.997655	953.20638	117.6798	0.76227	0.63605	0.11832	-0.01678
20:29:09.950	16	491.313165	-786.49333	-332.445435	-0.05225	0.48203	-0.65549	0.57892
20:29:10.010	7	-299.102825	936.535075	6.864655	0.76227	0.63605	0.11832	-0.01678
20:29:10.042	16	556.037055	-788.45466	-384.42068	-0.05225	0.48203	-0.65549	0.57892
20:29:10.132	16	654.103555	-697.252815	-375.594695	-0.05225	0.48203	-0.65549	0.57892
20:29:10.132	7	-370.69137	1018.910935	-48.052585	0.73822	0.65308	0.16345	0.04166
20:29:10.223	7	-377.556025	1071.866845	-105.91182	0.73822	0.65308	0.16345	0.04166
20:29:10.251	16	616.838285	-591.340995	-465.815875	0.00046	0.61932	-0.56876	0.54117
20:29:10.316	7	-424.627945	1046.369555	1.96133	0.73822	0.65308	0.16345	0.04166
20:29:10.342	16	626.644935	-525.63644	-457.970555	0.00046	0.61932	-0.56876	0.54117
20:29:10.429	7	-290.27684	960.071035	-58.8399	0.63818	0.73358	0.21774	-0.08389
20:29:10.432	16	705.098135	-489.351835	-451.1059	0.00046	0.61932	-0.56876	0.54117
20:29:10.518	7	-375.594695	871.811185	-2.941995	0.63818	0.73358	0.21774	-0.08389
20:29:10.552	16	671.755525	-415.80196	-524.655775	0.02231	0.72415	-0.48236	0.49225
20:29:10.609	7	-374.61403	804.1453	23.53596	0.63818	0.73358	0.21774	-0.08389
20:29:10.673	16	643.31624	-401.091985	-582.51501	0.02231	0.72415	-0.48236	0.49225
20:29:10.763	7	-449.14457	755.11205	-48.052585	0.57874	0.75861	0.25162	-0.16168
20:29:10.829	7	-507.003805	703.136805	-135.33177	0.57874	0.75861	0.25162	-0.16168
20:29:10.833	16	647.2389	-308.909475	-602.12831	0.02231	0.72415	-0.48236	0.49225
20:29:10.874	16	655.08422	-232.417605	-598.20565	0.03696	0.78534	-0.4118	0.4606
20:29:10.910	7	-530.539765	744.324735	-168.67438	0.57874	0.75861	0.25162	-0.16168
20:29:10.971	16	686.4655	-258.89556	-571.727695	0.03696	0.78534	-0.4118	0.4606
20:29:11.030	7	-593.302325	756.092715	-269.682875	0.59372	0.75217	0.24356	-0.14938
20:29:11.062	16	725.6921	-231.43694	-590.36033	0.03696	0.78534	-0.4118	0.4606
20:29:11.149	7	-427.56994	775.706015	-277.528195	0.59372	0.75217	0.24356	-0.14938
20:29:11.151	16	689.407495	-240.262925	-571.727695	0.04242	0.79196	-0.41266	0.44791
20:29:11.209	7	-388.34334	780.60934	-131.40911	0.59372	0.75217	0.24356	-0.14938
20:29:11.241	16	660.96821	-260.85689	-566.82437	0.04242	0.79196	-0.41266	0.44791
20:29:11.333	16	579.573015	-288.31551	-557.01772	0.04242	0.79196	-0.41266	0.44791
20:29:11.359	7	-412.859965	770.80269	-101.98916	0.59866	0.74796	0.24445	-0.14917
20:29:11.449	7	-330.484105	803.164635	-90.22118	0.59866	0.74796	0.24445	-0.14917
20:29:11.451	16	508.965135	-311.85147	-568.7857	0.00397	0.78131	-0.41916	0.46231
20:29:11.538	7	-253.01157	865.927195	76.49187	0.59866	0.74796	0.24445	-0.14917
20:29:11.601	16	475.622525	-369.710705	-547.21107	0.00397	0.78131	-0.41916	0.46231
20:29:11.661	16	415.80196	-477.583855	-529.5591	0.00397	0.78131	-0.41916	0.46231
20:29:11.661	7	-348.136075	923.78643	101.98916	0.68332	0.70645	0.16528	-0.08102
20:29:11.750	7	-416.782625	932.612415	98.0665	0.68332	0.70645	0.16528	-0.08102
20:29:11.751	16	548.191735	-569.766365	-566.82437	-0.09125	0.67029	-0.54425	0.49606
20:29:11.841	7	-444.241245	1069.905515	-61.781895	0.68332	0.70645	0.16528	-0.08102
20:29:11.871	16	550.153065	-714.904785	-571.727695	-0.09125	0.67029	-0.54425	0.49606
20:29:11.959	7	-266.74088	941.4384	-62.76256	0.68332	0.70645	0.16528	-0.08102
20:29:11.961	16	477.583855	-795.319315	-493.274495	-0.09125	0.67029	-0.54425	0.49606
20:29:12.052	7	-241.24359	965.955025	62.76256	0.68332	0.70645	0.16528	-0.08102
20:29:12.082	16	458.95122	-854.159215	-371.672035	-0.18051	0.4783	-0.6781	0.52792
20:29:12.140	7	-305.96748	1017.93027	141.21576	0.75793	0.63773	0.13565	-0.01825
20:29:12.171	16	401.091985	-872.79185	-390.30467	-0.18051	0.4783	-0.6781	0.52792
20:29:12.258	7	-244.185585	963.01303	176.5197	0.75793	0.63773	0.13565	-0.01825
20:29:12.262	16	263.798885	-880.63717	-367.749375	-0.18051	0.4783	-0.6781	0.52792
20:29:12.379	7	-244.185585	938.496405	187.307015	0.75793	0.63773	0.13565	-0.01825
20:29:12.381	16	201.036325	-844.352565	-314.793465	-0.07193	0.31601	-0.76199	0.56055
20:29:12.439	7	-237.32093	919.86377	218.688295	0.75699	0.63669	0.1442	-0.02631
20:29:12.472	16	255.953565	-878.67584	-346.174745	-0.07193	0.31601	-0.76199	0.56055
20:29:12.558	7	-228.494945	924.767095	204.958985	0.75699	0.63669	0.1442	-0.02631
20:29:12.561	16	266.74088	-851.21722	-327.54211	-0.07193	0.31601	-0.76199	0.56055
20:29:12.650	7	-229.47561	928.689755	199.074995	0.75699	0.63669	0.1442	-0.02631
20:29:12.680	16	252.030905	-854.159215	-347.15541	-0.07193	0.31601	-0.76199	0.56055
20:29:12.800	7	-225.55295	925.74776	208.881645	0.75946	0.63437	0.14255	-0.01932
20:29:12.802	16	261.837555	-849.25589	-360.88472	-0.07193	0.31601	-0.76199	0.56055
20:29:12.859	7	-221.63029	925.74776	205.93965	0.75946	0.63437	0.14255	-0.01932
20:29:12.861	16	303.025485	-849.25589	-358.92339	-0.05231	0.30911	-0.76035	0.56873
20:29:12.950	7	-224.572285	928.689755	205.93965	0.75946	0.63437	0.14255	-0.01932
20:29:12.982	16	319.69679	-864.94653	-358.92339	-0.05231	0.30911	-0.76035	0.56873
20:29:13.038	7	-223.59162	928.689755	207.90098	0.76004	0.63361	0.14337	-0.0144
20:29:13.101	16	281.450855	-843.3719	-379.517355	-0.05231	0.30911	-0.76035	0.56873
20:29:13.158	7	-224.572285	928.689755	202.997655	0.76004	0.63361	0.14337	-0.0144
20:29:13.192	16	286.35418	-840.429905	-364.80738	-0.03436	0.30688	-0.76675	0.56268
20:29:13.250	7	-230.456275	928.689755	204.958985	0.76004	0.63361	0.14337	-0.0144
20:29:13.281	16	273.605535	-838.468575	-355.981395	-0.03436	0.30688	-0.76675	0.56268
20:29:13.339	7	-226.533615	931.63175	202.01699	0.75949	0.63391	0.1449	-0.01596
20:29:13.372	16	310.870805	-838.468575	-355.981395	-0.03436	0.30688	-0.76675	0.56268
20:29:13.458	7	-220.649625	930.651085	200.05566	0.75949	0.63391	0.1449	-0.01596
20:29:13.460	16	331.46477	-838.468575	-356.96206	-0.04434	0.3288	-0.75046	0.57153
20:29:13.550	7	-257.914895	938.496405	194.17167	0.75949	0.63391	0.1449	-0.01596
20:29:13.582	16	469.738535	-829.64259	-366.76871	-0.04434	0.3288	-0.75046	0.57153
20:29:13.638	7	-199.074995	924.767095	206.920315	0.75992	0.63361	0.14404	-0.0155
20:29:13.702	16	507.003805	-802.18397	-366.76871	-0.04434	0.3288	-0.75046	0.57153
20:29:13.758	7	-200.05566	944.380395	204.958985	0.75992	0.63361	0.14404	-0.0155
20:29:13.883	16	653.12289	-734.518085	-593.302325	-0.02502	0.37115	-0.7359	0.56564
20:29:13.883	7	-218.688295	929.67042	214.765635	0.75992	0.63361	0.14404	-0.0155
20:29:13.942	7	-202.997655	924.767095	143.17709	0.76144	0.63144	0.14621	0.005
20:29:13.972	16	700.19481	-694.31082	-734.518085	-0.02502	0.37115	-0.7359	0.56564
20:29:14.059	7	-209.86231	942.419065	189.268345	0.76144	0.63144	0.14621	0.005
20:29:14.061	16	658.026215	-707.059465	-609.97363	0.19562	0.38583	-0.77951	0.45288
20:29:14.150	7	-183.384355	922.805765	215.7463	0.76144	0.63144	0.14621	0.005
20:29:14.180	16	665.871535	-476.60319	-502.10048	0.19562	0.38583	-0.77951	0.45288
20:29:14.239	7	-169.655045	919.86377	218.688295	0.75531	0.63797	0.14783	0.02386
20:29:14.302	16	698.23348	-253.992235	-415.80196	0.19562	0.38583	-0.77951	0.45288
20:29:14.363	16	689.407495	-84.33719	-366.76871	0.3829	0.38416	-0.79645	0.26712
20:29:14.363	7	-177.500365	929.67042	188.28768	0.75531	0.63797	0.14783	0.02386
20:29:14.450	7	-192.21034	946.341725	177.500365	0.75531	0.63797	0.14783	0.02386
20:29:14.452	16	788.45466	46.091255	-384.42068	0.3829	0.38416	-0.79645	0.26712
20:29:14.538	7	-176.5197	959.09037	167.693715	0.75558	0.63934	0.14151	0.01416
20:29:14.601	16	813.95195	111.79581	-417.76329	0.3829	0.38416	-0.79645	0.26712
20:29:14.658	7	-162.79039	934.573745	190.24901	0.75558	0.63934	0.14151	0.01416
20:29:14.662	16	731.57609	138.273765	-393.246665	0.43204	0.36536	-0.79599	0.21472
20:29:14.749	7	-174.55837	944.380395	181.423025	0.75558	0.63934	0.14151	0.01416
20:29:14.751	16	679.600845	116.699135	-386.38201	0.43204	0.36536	-0.79599	0.21472
20:29:14.839	7	-164.75172	948.303055	179.461695	0.75745	0.63773	0.13873	0.01486
20:29:14.871	16	525.63644	37.26527	-386.38201	0.43204	0.36536	-0.79599	0.21472
20:29:14.959	7	-186.32635	933.59308	188.28768	0.75745	0.63773	0.13873	0.01486
20:29:14.962	16	388.34334	-155.925735	-382.45935	0.36938	0.30981	-0.83902	0.25195
20:29:15.052	16	865.927195	-399.130655	-456.009225	0.36938	0.30981	-0.83902	0.25195
20:29:15.052	7	-194.17167	940.457735	195.152335	0.75745	0.63773	0.13873	0.01486
20:29:15.139	7	-200.05566	940.457735	184.36502	0.75876	0.6355	0.1424	0.00705
20:29:15.171	16	875.733845	-614.876955	-688.42683	0.36938	0.30981	-0.83902	0.25195
20:29:15.258	7	-202.01699	945.36106	189.268345	0.75876	0.6355	0.1424	0.00705
20:29:15.262	16	572.70836	-709.020795	-744.324735	0.15958	0.12027	-0.85416	0.47998
20:29:15.350	7	-196.133	941.4384	190.24901	0.75876	0.6355	0.1424	0.00705
20:29:15.411	16	453.06723	-744.324735	-606.05097	0.15958	0.12027	-0.85416	0.47998
20:29:15.438	7	-191.229675	940.457735	187.307015	0.75854	0.63504	0.14517	0.01135
20:29:15.471	16	411.8793	-745.3054	-538.385085	0.15958	0.12027	-0.85416	0.47998
20:29:15.562	16	337.34876	-764.9187	-498.17782	0.08084	0.07501	-0.83871	0.5332
20:29:15.589	7	-193.191005	938.496405	189.268345	0.75854	0.63504	0.14517	0.01135
20:29:15.651	16	362.84605	-794.33865	-468.75787	0.08084	0.07501	-0.83871	0.5332
20:29:15.681	7	-195.152335	941.4384	185.345685	0.75854	0.63504	0.14517	0.01135
20:29:15.772	16	398.14999	-777.667345	-469.738535	0.08084	0.07501	-0.83871	0.5332
20:29:15.798	7	-213.78497	947.32239	183.384355	0.75854	0.63504	0.14517	0.01135
20:29:15.863	16	554.075725	-760.015375	-486.40984	0.15881	0.09976	-0.85049	0.49127
20:29:15.890	7	-250.069575	960.071035	200.05566	0.75827	0.63538	0.14435	0.01926
20:29:15.954	16	607.031635	-685.484835	-521.71378	0.15881	0.09976	-0.85049	0.49127
20:29:15.978	7	-199.074995	1106.19012	156.9064	0.75827	0.63538	0.14435	0.01926
20:29:16.070	7	-630.567595	955.16771	307.92881	0.75827	0.63538	0.14435	0.01926
