Time	ID	Ax_global	Ay_global	Az_global
20:52:20.940	14	-0.9453337749093365	-931.9468326273828	972.0814491547083
20:52:20.979	13	149.74762799919228	-1061.3565380740927	945.4934908556302
20:52:21.027	14	-90.03665319636733	-956.6755677803103	957.9447481887496
20:52:21.060	13	86.58322825552355	-1005.5521793493384	881.9221295371364
20:52:21.152	13	49.61401612102833	-947.6869722170229	787.4003976952561
20:52:21.152	14	30.614847475047313	-952.6784631067571	958.7350174658629
20:52:21.236	14	-81.35332111948553	-845.0353175515945	930.9034722018716
20:52:21.268	13	122.38729889312246	-1023.039292150336	686.6337361375365
20:52:21.328	14	-23.468086404223314	-978.2843510048829	968.4327052882661
20:52:21.362	13	109.10667906851117	-1006.7553195958992	789.6356595464126
20:52:21.448	14	-38.129811322756495	-954.765211966165	971.8491831034294
